asec_year,var,size,pos,conflict
2003,A_HGA,2,22,0
2003,A_LFSR,1,145,0
2003,A_LINENO,2,9,0
2003,A_MARITL,1,17,0
2003,A_PARENT,2,11,0
2003,A_SEX,1,20,0
2003,A_SPOUSE,2,18,0
2003,A_UNTYPE,1,146,0
2003,A_USLHRS,2,128,0
2003,A_WKSTAT,1,149,0
2003,HRSWK,2,181,0
2003,LJCW,1,189,0
2003,MARSUPWT,8,66,0
2003,OCCUP,4,908,0
2003,PEARNVAL,8,448,0
2003,PEIOOCC,4,91,0
2003,PEMLR,1,705,0
2003,PENPLAN,1,482,0
2003,PERIDNUM,21,912,0
2003,PH_SEQ,5,2,0
2003,PRDTRACE,2,24,0
2003,WKSWORK,2,171,0
2003,WSAL_VAL,6,243,0
2004,A_AGE,2,15,0
2004,A_CLSWKR,1,109,0
2004,A_DTOCC,2,161,0
2004,A_EXPRRP,2,13,0
2004,A_FAMREL,1,32,0
2004,A_HGA,2,22,0
2004,A_LFSR,1,145,0
2004,A_LINENO,2,9,0
2004,A_MARITL,1,17,0
2004,A_PARENT,2,11,0
2004,A_SEX,1,20,0
2004,A_SPOUSE,2,18,0
2004,A_UNTYPE,1,146,0
2004,A_USLHRS,2,128,0
2004,A_WKSTAT,1,149,0
2004,HRSWK,2,181,0
2004,LJCW,1,189,0
2004,MARSUPWT,8,66,0
2004,OCCUP,4,908,0
2004,PEARNVAL,8,448,0
2004,PEIOOCC,4,91,0
2004,PEMLR,1,705,0
2004,PENPLAN,1,482,0
2004,PERIDNUM,21,912,0
2004,PH_SEQ,5,2,0
2004,PRDTRACE,2,24,0
2004,WKSWORK,2,171,0
2004,WSAL_VAL,6,243,0
2005,A_AGE,2,15,0
2005,A_CLSWKR,1,109,0
2005,A_DTOCC,2,161,0
2005,A_EXPRRP,2,13,0
2005,A_FAMREL,1,32,0
2005,A_HGA,2,22,0
2005,A_LFSR,1,145,0
2005,A_LINENO,2,9,0
2005,A_MARITL,1,17,0
2005,A_PARENT,2,11,0
2005,A_SEX,1,20,0
2005,A_SPOUSE,2,18,0
2005,A_UNTYPE,1,146,0
2005,A_USLHRS,2,128,0
2005,A_WKSTAT,1,149,0
2005,HRSWK,2,181,0
2005,LJCW,1,189,0
2005,MARSUPWT,8,66,0
2005,OCCUP,4,908,0
2005,PEARNVAL,8,448,0
2005,PEIOOCC,4,91,0
2005,PEMLR,1,705,0
2005,PENPLAN,1,482,0
2005,PERIDNUM,22,912,0
2005,PH_SEQ,5,2,0
2005,PRDTRACE,2,24,0
2005,WKSWORK,2,171,0
2005,WSAL_VAL,6,243,0
2006,A_AGE,2,15,0
2006,A_CLSWKR,1,109,0
2006,A_DTOCC,2,161,0
2006,A_EXPRRP,2,13,0
2006,A_FAMREL,1,32,0
2006,A_HGA,2,22,0
2006,A_LFSR,1,145,0
2006,A_LINENO,2,9,0
2006,A_MARITL,1,17,0
2006,A_PARENT,2,11,0
2006,A_SEX,1,20,0
2006,A_SPOUSE,2,18,0
2006,A_UNTYPE,1,146,0
2006,A_USLHRS,2,128,0
2006,A_WKSTAT,1,149,0
2006,HRSWK,2,181,0
2006,LJCW,1,189,0
2006,MARSUPWT,8,66,0
2006,OCCUP,4,908,0
2006,PEARNVAL,8,448,0
2006,PEIOOCC,4,91,0
2006,PEMLR,1,705,0
2006,PENPLAN,1,482,0
2006,PERIDNUM,22,912,0
2006,PH_SEQ,5,2,0
2006,PRDTRACE,2,24,0
2006,WKSWORK,2,171,0
2006,WSAL_VAL,6,243,0
2007,A_AGE,2,15,0
2007,A_CLSWKR,1,109,0
2007,A_DTOCC,2,161,0
2007,A_EXPRRP,2,13,0
2007,A_FAMREL,1,32,0
2007,A_HGA,2,22,0
2007,A_LFSR,1,145,0
2007,A_LINENO,2,9,0
2007,A_MARITL,1,17,0
2007,A_PARENT,2,11,0
2007,A_SEX,1,20,0
2007,A_SPOUSE,2,18,0
2007,A_UNTYPE,1,146,0
2007,A_USLHRS,2,128,0
2007,A_WKSTAT,1,149,0
2007,HRSWK,2,181,0
2007,LJCW,1,189,0
2007,MARSUPWT,8,66,0
2007,OCCUP,4,908,0
2007,PEARNVAL,8,448,0
2007,PEIOOCC,4,91,0
2007,PEMLR,1,705,0
2007,PENPLAN,1,482,0
2007,PERIDNUM,22,912,0
2007,PH_SEQ,5,2,0
2007,PRDTRACE,2,24,0
2007,WKSWORK,2,171,0
2007,WSAL_VAL,6,243,0
2008,A_AGE,2,15,0
2008,A_CLSWKR,1,109,0
2008,A_DTOCC,2,161,0
2008,A_EXPRRP,2,13,0
2008,A_FAMREL,1,32,0
2008,A_HGA,2,22,0
2008,A_LFSR,1,145,0
2008,A_LINENO,2,9,0
2008,A_MARITL,1,17,0
2008,A_PARENT,2,11,0
2008,A_SEX,1,20,0
2008,A_SPOUSE,2,18,0
2008,A_UNTYPE,1,146,0
2008,A_USLHRS,2,128,0
2008,A_WKSTAT,1,149,0
2008,HRSWK,2,181,0
2008,LJCW,1,189,0
2008,MARSUPWT,8,66,0
2008,OCCUP,4,908,0
2008,PEARNVAL,8,448,0
2008,PEIOOCC,4,91,0
2008,PEMLR,1,705,0
2008,PENPLAN,1,482,0
2008,PERIDNUM,22,912,0
2008,PH_SEQ,5,2,0
2008,PRDTRACE,2,24,0
2008,WKSWORK,2,171,0
2008,WSAL_VAL,6,243,0
2009,A_AGE,2,15,0
2009,A_CLSWKR,1,109,0
2009,A_DTOCC,2,161,0
2009,A_EXPRRP,2,13,0
2009,A_FAMREL,1,32,0
2009,A_HGA,2,22,0
2009,A_LFSR,1,145,0
2009,A_LINENO,2,9,0
2009,A_MARITL,1,17,0
2009,A_PARENT,2,11,0
2009,A_SEX,1,20,0
2009,A_SPOUSE,2,18,0
2009,A_UNTYPE,1,146,0
2009,A_USLHRS,2,128,0
2009,A_WKSTAT,1,149,0
2009,HRSWK,2,181,0
2009,LJCW,1,189,0
2009,MARSUPWT,8,66,0
2009,OCCUP,4,908,0
2009,PEARNVAL,8,448,0
2009,PEIOOCC,4,91,0
2009,PEMLR,1,705,0
2009,PENPLAN,1,482,0
2009,PERIDNUM,22,912,0
2009,PH_SEQ,5,2,0
2009,PRDTRACE,2,24,0
2009,WKSWORK,2,171,0
2009,WSAL_VAL,6,243,0
2010,A_AGE,2,15,0
2010,A_CLSWKR,1,109,0
2010,A_DTOCC,2,161,0
2010,A_EXPRRP,2,13,0
2010,A_FAMREL,1,32,0
2010,A_HGA,2,22,0
2010,A_LFSR,1,145,0
2010,A_LINENO,2,9,0
2010,A_MARITL,1,17,0
2010,A_PARENT,2,11,0
2010,A_SEX,1,20,0
2010,A_SPOUSE,2,18,0
2010,A_UNTYPE,1,146,0
2010,A_USLHRS,2,128,0
2010,A_WKSTAT,1,149,0
2010,HRSWK,2,181,0
2010,LJCW,1,189,0
2010,MARSUPWT,8,66,0
2010,OCCUP,4,908,0
2010,PEARNVAL,8,448,0
2010,PEIOOCC,4,91,0
2010,PEMLR,1,705,0
2010,PENPLAN,1,482,0
2010,PERIDNUM,22,912,0
2010,PH_SEQ,5,2,0
2010,PRDTRACE,2,24,0
2010,WKSWORK,2,171,0
2010,WSAL_VAL,6,243,0
